unix_timestamp_ms,fcr_price_eur_per_mw_4h
1706389200000,396.6
1706392800000,341.6
1706396400000,0.3
1706400000000,6.1
1706403600000,0.0
1706407200000,0.0
1706410800000,9.53
1706414400000,6.48
1706418000000,8.2
1706421600000,12.9
1706425200000,0.0
1706428800000,151.98
1706432400000,1151.93
1706436000000,1171.68
1706439600000,1071.58
1706443200000,0.75
1706446800000,868.57
1706450400000,9.8
1706454000000,251.33
1706457600000,512.9
1706461200000,127.28
1706464800000,1015.8
1706468400000,1019.8
1706472000000,1024.2
1706475600000,1107.33
1706479200000,200.52
1706482800000,676.78
1706486400000,618.78
1706490000000,614.6
1706493600000,284.88
1706497200000,245.98
1706500800000,184.1
1706504400000,1075.4
1706508000000,104.03
1706511600000,282.92
1706515200000,936.4
1706518800000,819.73
1706522400000,796.35
1706526000000,536.08
1706529600000,107.48
1706533200000,109.3
1706536800000,608.88
1706540400000,491.67
1706544000000,144.05
1706547600000,688.33
1706551200000,606.28
1706554800000,280.28
1706558400000,0.0
1706562000000,8.43
1706565600000,735.55
1706569200000,1.13
1706572800000,0.0
1706576400000,237.9
1706580000000,7.38
1706583600000,0.0
1706587200000,78.85
1706590800000,95.28
1706594400000,168.58
1706598000000,647.25
1706601600000,344.22
1706605200000,697.78
1706608800000,514.88
1706612400000,521.75
1706616000000,358.53
1706619600000,50.58
1706623200000,88.85
1706626800000,188.65
1706630400000,458.0
1706634000000,1003.85
1706637600000,1009.95
1706641200000,1021.45
1706644800000,1072.95
1706648400000,1031.3
1706652000000,1020.5
1706655600000,925.5
1706659200000,963.38
1706662800000,671.08
1706666400000,392.42
1706670000000,1070.1
1706673600000,1028.78
1706677200000,160.7
1706680800000,64.18
1706684400000,276.4
1706688000000,169.68
1706691600000,65.55
1706695200000,233.88
1706698800000,53.75
1706702400000,245.93
1706706000000,76.23
1706709600000,73.73
1706713200000,67.58
1706716800000,167.4
1706720400000,1484.53
1706724000000,1016.45
1706727600000,1004.57
1706731200000,1054.63
1706734800000,1040.2
1706738400000,1085.93
1706742000000,1004.53
1706745600000,1008.93
1706749200000,1030.13
1706752800000,1067.03
1706756400000,1060.93
1706760000000,1394.65
1706763600000,1101.8
1706767200000,1016.85
1706770800000,965.28
1706774400000,983.4
1706778000000,1144.73
1706781600000,1073.55
1706785200000,1187.8
1706788800000,1231.55
1706792400000,1065.6
1706796000000,949.25
1706799600000,1161.13
1706803200000,656.65
1706806800000,1015.83
1706810400000,1031.68
1706814000000,1163.73
1706817600000,1394.43
1706821200000,1220.63
1706824800000,1078.4
1706828400000,973.95
1706832000000,956.43
1706835600000,70.28
1706839200000,21.8
1706842800000,98.48
1706846400000,80.63
1706850000000,90.7
1706853600000,1177.63
1706857200000,1181.88
1706860800000,1084.03
1706864400000,1536.23
1706868000000,1203.53
1706871600000,1098.75
1706875200000,1039.0
1706878800000,1081.78
1706882400000,888.4
1706886000000,988.28
1706889600000,1012.35
1706893200000,1010.95
1706896800000,1012.65
1706900400000,1001.68
1706904000000,1016.03
1706907600000,1021.25
1706911200000,1026.05
1706914800000,1003.6
1706918400000,1000.0
1706922000000,1003.55
1706925600000,1059.78
1706929200000,1093.57
1706932800000,1065.55
1706936400000,1120.85
1706940000000,1017.25
1706943600000,1012.1
1706947200000,1021.15
1706950800000,939.2
1706954400000,917.73
1706958000000,927.82
1706961600000,995.25
1706965200000,1015.45
1706968800000,1108.18
1706972400000,1136.93
1706976000000,1028.83
1706979600000,1002.43
1706983200000,1005.18
1706986800000,1012.1
1706990400000,1011.88
1706994000000,1016.43
1706997600000,1011.5
1707001200000,999.2
1707004800000,1005.13
1707008400000,1001.45
1707012000000,883.6
1707015600000,733.65
1707019200000,630.18
1707022800000,851.4
1707026400000,928.35
1707030000000,1006.4
1707033600000,988.95
1707037200000,1002.07
1707040800000,1000.0
1707044400000,1000.0
1707048000000,847.7
1707051600000,1000.0
1707055200000,1000.0
1707058800000,1000.0
1707062400000,1001.38
1707066000000,1000.0
1707069600000,1000.83
1707073200000,1000.0
1707076800000,1000.0
1707080400000,1000.18
1707084000000,1005.25
1707087600000,987.5
1707091200000,1000.6
1707094800000,1001.5
1707098400000,731.33
1707102000000,807.33
1707105600000,869.85
1707109200000,634.65
1707112800000,1006.3
1707116400000,998.93
1707120000000,1018.18
